기출년도,과목,문제,보기1,보기2,보기3,보기4,보기5,정답,해설,이미지
"2022","행정법총론","1. 행정입법에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함)","1. 자치조례에 대한 법률의 위임은 반드시 구체적으로 범위를 정하여 할 필요가 없으며 포괄적인 것으로 족하다.","2. 부령 형식으로 정해진 제재적 행정처분의 기준은 법규성이 있어서 대외적으로 국민이나 법원을 기속하는 효력이 있다.","3. 고시가 법령의 수권에 의하여 법령을 보충하는 사항을 정하는 경우 위임의 한계를 벗어나지 않는 한 그 근거 법령과 결합하여 대외적으로 구속력이 있는 법규명령으로서의 효력을 가진다.","4. 법률의 시행령이 형사처벌에 관한 사항을 규정하면서 법률의 명시적인 위임 범위를 벗어나 처벌의 대상을 확장하는 것은 위임입법의 한계를 벗어난 것으로 그 시행령은 무효이다.","","2","판례에 따르면 제재적 행정처분의 기준이 부령(시행규칙)의 형식으로 규정된 경우, 이는 행정청 내부의 사무처리준칙(행정규칙)에 불과하여 대외적으로 국민이나 법원을 기속하는 효력이 없다고 봅니다. 따라서 법규성이 있다는 설명은 옳지 않습니다.",""
"2022","행정법총론","2. 행정행위의 부관에 대한 설명으로 옳은 것은? (다툼이 있는 경우 판례에 의함)","1. 행정처분에 부가한 부담이 무효인 경우에는 그 부담의 이행으로 이루어진 사법상 법률행위도 무효가 된다.","2. 부관의 사후변경은 종전의 부관을 변경하지 아니하면 해당 처분의 목적을 달성할 수 없는 경우가 아니라면 인정되지 않는다.","3. 행정처분과 실제적 관련성이 없어 부관을 붙일 수 없는 경우에도 사법상 계약의 형식으로 공법상 제한을 회피할 수 있다.","4. 행정재산에 대한 기한부 사용․수익허가를 받은 경우, 그 사용ㆍ수익허가의 기간에 대하여 독립하여 행정소송을 제기할 수 없다.","","4","행정재산의 사용·수익허가 기간(기한)은 행정행위의 본질적 요소에 해당하므로, 부관인 기간에 대해서만 독립하여 취소소송을 제기할 수 없습니다. 전체 처분을 대상으로 소송을 제기해야 합니다.",""
"2022","행정법총론","3. 판례상 재량행위에 해당하는 것만을 모두 고르면?

ㄱ. 「여객자동차 운수사업법」상 개인택시운송사업면허
ㄴ. 구「수도권대기환경특별법」상 대기오염물질 총량관리 사업장 설치허가
ㄷ. 「국가공무원법」상 휴직 사유 소멸을 이유로 한 신청에 대한 복직명령
ㄹ. 「출입국관리법」상 체류자격 변경허가","1. ㄱ, ㄹ","2. ㄴ, ㄷ","3. ㄱ, ㄴ, ㄹ","4. ㄱ, ㄴ, ㄷ, ㄹ","","3","ㄱ, ㄴ, ㄹ은 판례상 재량행위로 인정됩니다. 반면 ㄷ(휴직 사유 소멸에 따른 복직명령)은 기속행위(의무적 행위)에 해당합니다.",""
"2022","행정법총론","4. 행정절차에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함)","1. 계약직공무원 채용계약해지의 의사표시는 「행정절차법」에 의하여 근거와 이유를 제시하여야 하는 것은 아니다.","2. 교육부장관이 부적격사유가 없는 후보자들 사이에서 어떤 후보자를 상대적으로 더욱 적합하다고 판단하여 국립대학교의 총장으로 임용제청을 하였다면, 그러한 임용제청행위 자체로서 이유제시의무를 다한 것이다.","3. 「국가공무원법」상 직위해제처분에는 처분의 사전통지 및 의견청취 등에 관한 「행정절차법」의 규정이 적용된다.","4. 과세처분 시 납세고지서에 법으로 규정한 과세표준 등의 기재가 누락되면 그 과세처분 자체가 위법한 처분이 되어 취소의 대상이 된다.","","3","판례에 따르면 「국가공무원법」상 직위해제처분은 행정절차법 제3조 제2항 제9호 등에 따라 처분의 사전통지 및 의견청취 등에 관한 규정이 적용되지 않습니다.",""
"2022","행정법총론","5. 행정법의 일반원칙에 대한 설명으로 옳은 것만을 모두 고르면? (다툼이 있는 경우 판례에 의함)

ㄱ. 비례의 원칙은 법치국가원리에서 당연히 파생되는 헌법상의 기본원리이다.
ㄴ. 평등의 원칙은 본질적으로 같은 것을 자의적으로 다르게 취급함을 금지하는 것이므로, 위법한 행정처분이 수차례에 걸쳐 반복적으로 행하여졌다면 행정청에 대하여 자기구속력을 갖게 된다.
ㄷ. 국가가 임용결격사유가 있는 자에 대하여 결격사유가 있는 것을 알지 못하고 공무원으로 임용하였다가 나중에 결격사유가 있음을 발견하고 그 임용행위를 취소하는 경우 신의칙이 적용된다.
ㄹ. 지방자치단체장이 사업자에게 주택사업계획승인을 하면서 그 주택사업과는 아무런 관련이 없는 토지를 기부채납하도록 하는 부관을 주택사업계획승인에 붙인 경우, 그 부관은 부당결부금지의 원칙에 위반되어 위법하다.","1. ㄱ, ㄴ","2. ㄱ, ㄹ","3. ㄴ, ㄷ","4. ㄷ, ㄹ","","2","ㄱ, ㄹ은 옳습니다. ㄴ은 '위법한 행정처분'에는 평등의 원칙(자기구속의 원칙)이 적용되지 않으므로(불법의 평등은 인정되지 않음) 틀립니다. ㄷ은 임용결격자에 대한 임용행위는 당연무효이며, 이를 취소하는 것에 신의칙이 적용되어 취소가 제한된다고 볼 수 없다는 것이 판례입니다.",""
"2022","행정법총론","6. 행정행위에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함)","1. 건축허가는 대물적 성질을 갖는 것이어서 행정청으로서는 허가를 할 때에 건축주 또는 토지 소유자가 누구인지 등 인적 요소에 관하여는 형식적 심사만 한다.","2. 시․도경찰청장이 횡단보도를 설치하여 보행자 통행방법 등을 규제하는 것은 국민의 권리․의무에 직접 관계가 있는 행위로서 행정처분이다.","3. 국유재산의 무단점유에 대한 변상금 징수의 요건은 「국유재산법」에 명백히 규정되어 있으므로 변상금을 징수할 것인가는 처분청의 재량을 허용하지 않는 기속행위이다.","4. 공유수면의 점용․사용허가는 특정인에게 공유수면 이용권이라는 독점적 권리를 설정하여 주는 처분이 아니라 일반적인 상대적 금지를 해제하는 처분이다.","","4","공유수면의 점용·사용허가는 특정인에게 공유수면 이용권이라는 독점적 권리를 설정하여 주는 '특허(설권행위)'에 해당합니다. 일반적인 상대적 금지를 해제하는 '허가'가 아닙니다.",""
"2022","행정법총론","7. 「공공기관의 정보공개에 관한 법률」상 정보공개에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함)","1. 정보공개 청구권자의 권리구제 가능성은 정보의 공개 여부 결정에 아무런 영향을 미치지 못한다.","2. 학교환경위생구역 내 금지행위 해제결정에 관한 학교환경위생 정화위원회의 회의록에 기재된 발언내용에 대한 해당 발언자의 인적사항 부분에 관한 정보는 비공개대상에 해당하지 아니한다.","3. 공공기관이 정보공개를 거부하는 경우에는 어느 부분이 어떠한 법익 또는 기본권과 충돌되어 비공개사유에 해당하는지를 주장․증명하여야 하고, 그에 이르지 아니한 채 개괄적인 사유만을 들어 공개를 거부하는 것은 허용되지 아니한다.","4. 공개를 구하는 정보를 공공기관이 한때 보유․관리하였으나 후에 그 정보가 담긴 문서등이 폐기되어 존재하지 않게 된 것이라면 그 정보를 더 이상 보유․관리하고 있지 아니하다는 점에 대한 증명책임은 공공기관에게 있다.","","2","판례에 따르면 학교환경위생정화구역 내 금지행위 해제결정에 관한 회의록에 기재된 발언내용 중 해당 발언자의 인적사항 부분에 관한 정보는 비공개대상정보에 해당합니다. (지문이 비공개대상에 해당하지 않는다고 하였으므로 틀림)",""
"2022","행정법총론","8. 행정처분의 위법성에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함)","1. 행정청이 행정처분을 하면서 상대방에게 불복절차에 관한 고지의무를 이행하지 않았다면 이는 절차적 하자로서 그 행정처분은 위법하게 된다.","2. 행정처분이 나중에 항고소송에서 위법하다고 판단되어 취소되더라도 그러한 사실만으로 바로 행정처분이 공무원의 고의나 과실로 인한 불법행위를 구성한다고 할 수 없다.","3. 절차상의 하자를 이유로 행정처분을 취소하는 판결이 선고되어 확정된 경우, 그 확정판결의 기속력은 취소사유로 된 절차의 위법에 한하여 미치는 것이므로 행정청은 적법한 절차를 갖추어 동일한 내용의 처분을 다시 할 수 있다.","4. 권한 없는 행정청이 한 위법한 행정처분을 취소할 수 있는 권한은 그 행정처분을 한 처분청에게 속하는 것이고, 그 행정처분을 할 수 있는 적법한 권한을 가지는 행정청에게 그 취소권이 귀속되는 것은 아니다.","","1","행정청이 행정처분을 하면서 불복절차(고지제도)에 관한 고지의무를 이행하지 않았다고 해서 그 처분 자체가 위법하게 되는 것은 아닙니다. 단지 불복청구기간이 연장되는 등의 효과가 발생할 뿐입니다.",""
"2022","행정법총론","9. 영업의 양도와 영업자지위승계에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함)","1. 「식품위생법」상 허가영업자의 지위승계신고수리처분을 하는 경우 「행정절차법」 규정 소정의 당사자에 해당하는 종전의 영업자에게 행정절차를 실시하여야 한다.","2. 관할 행정청은 여객자동차운송사업의 양도․양수에 대한 인가를 한 후에도 그 양도․양수 이전에 있었던 양도인에 대한 운송사업면허 취소사유를 들어 양수인의 사업면허를 취소할 수 있다.","3. 영업양도행위가 무효임에도 행정청이 승계신고를 수리하였다면 양도자는 민사쟁송이 아닌 행정소송으로 신고수리처분의 무효확인을 구할 수 있다.","4. 사실상 영업이 양도․양수되었지만 승계신고 및 수리처분이 있기 전에 양도인이 허락한 양수인의 영업 중 발생한 위반행위에 대한 행정적 책임은 양수인에게 귀속된다.","","4","사실상 영업이 양도·양수되었더라도 승계신고 및 수리처분이 있기 전이라면, 양도인이 허락한 양수인의 영업 중 발생한 위반행위에 대한 행정적 책임은 여전히 법적인 영업자인 '양도인'에게 귀속됩니다.",""
"2022","행정법총론","10. 여객자동차운송사업을 하는 甲은 관련법규 위반을 이유로 사업정지처분에 갈음하는 과징금부과처분을 받았다. 이에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함)","1. 甲이 현실적인 위반행위자가 아닌 법령상 책임자인 경우에도 甲에게 과징금을 부과할 수 있다.","2. 甲에게 고의․과실이 없는 경우에는 과징금을 부과할 수 없다.","3. 과징금부과처분에 대해 甲은 취소소송을 제기하여 다툴 수 있다.","4. 甲에게 부과된 과징금이 법이 정한 한도액을 초과하여 위법한 경우, 법원은 그 초과부분에 대하여 일부 취소할 수 없고 그 전부를 취소하여야 한다.","","2","행정법규 위반에 대한 제재조치(과징금 등)는 특별한 규정이 없는 한 위반자의 고의나 과실을 요하지 않습니다. 따라서 고의·과실이 없는 경우에도 과징금을 부과할 수 있습니다.",""
