기출년도,과목,문제,보기1,보기2,보기3,보기4,보기5,정답,해설,이미지,이미지정렬,검증됨
"2022","영어","1. 밑줄 친 부분의 의미와 가장 가까운 것을 고르시오. [문  1.～문  3.]
 School teachers have to be ""flexible""
to cope with different 
ability levels of the students.","1. strong","2. adaptable","3. honest","4. passionate","","2","문맥상 교사들은 학생들의 서로 다른 능력 수준에 대처하기 위해 '유연해야' 한다는 내용이므로, 'flexible(유연한, 융통성 있는)'과 의미가 가장 가까운 것은 'adaptable(적응할 수 있는, 융통성 있는)'입니다. 

① strong (강한) 
③ honest (정직한) 
④ passionate (열정적인)","","center","true"
"2022","영어","2. Crop yields ""vary"", improving in some areas and falling in others.","1. change","2. decline","3. expand","4. include","","1","문맥상 농작물 수확량이 어떤 지역에서는 개선되고 다른 지역에서는 떨어지는 등 '다르다(vary)'는 의미입니다. 이와 가장 가까운 의미는 'change(변하다, 달라지다)'입니다.

② decline (감소하다)
③ expand (확장하다)
④ include (포함하다)","","center","true"
"2022","영어","3. I don’t feel inferior to anyone ""with respect to"" my education.","1. in danger of","2. in spite of","3. in favor of","4. in terms of","","4","'with respect to'는 '~에 관하여', '~의 측면에서'라는 뜻의 숙어입니다. 이와 의미가 가장 가까운 것은 'in terms of(~의 면에서)'입니다.

① in danger of (~의 위험에 처한)
② in spite of (~에도 불구하고)
③ in favor of (~에 찬성하여)","","center","true"
"2022","영어","4. 밑줄 친 부분에 들어갈 말로 가장 적절한 것은?
Sometimes we ________ money long before the next 
payday.","1. turn into","2. start over","3. put up with","4. run out of","","4","다음 월급날이 오기 한참 전에 돈이 '떨어진다'는 내용이 자연스럽습니다. 'run out of'는 '~을 다 써버리다', '~이 바닥나다'라는 뜻입니다.

① turn into (~로 변하다)
② start over (다시 시작하다)
③ put up with (~을 참다)","","center","true"
"2022","영어","5. 어법상 옳지 않은 것을 고르시오.  [문  5.～문  6.]","1. He asked me why I kept coming back day after day.","2. Toys children wanted all year long has recently discarded.","3. She is someone who is always ready to lend a helping hand.","4. Insects are often attracted by scents that aren’t obvious to us.","","2","② 'Toys children wanted all year long has recently discarded.' 문장에서 주어는 'Toys(복수)'이므로 동사는 'has'가 아니라 'have'가 되어야 하며, 장난감은 버리는 주체가 아니라 버려지는 대상이므로 수동태(have been discarded)가 되어야 합니다. 올바른 문장은 'Toys ... have recently been discarded.' 입니다.

① 간접의문문 어순(why I kept...)과 시제 일치가 적절합니다.
③ 관계대명사절의 수식과 어순이 적절합니다.
④ 수동태(are attracted)와 관계대명사절이 적절합니다.","","center","true"
"2022","영어","6. ","1. You can write on both sides of the paper.","2. My home offers me a feeling of security, warm, and love.","3. The number of car accidents is on the rise.","4. Had I realized what you were intending to do, I would have stopped you.","","2","② 'a feeling of security, warm, and love'에서 병렬 구조상 명사들이 나열되어야 합니다. 'security'와 'love'는 명사이지만 'warm'은 형용사입니다. 따라서 'warm'을 명사형인 'warmth'로 고쳐야 합니다.

① 'both sides'는 적절한 표현입니다.
③ 'The number of'(~의 수) 뒤에는 단수 동사(is)가 오는 것이 맞습니다.
④ 가정법 과거완료 도치 구문(Had I realized...)으로 적절합니다.","","center","true"
"2022","영어","7. 우리말을 영어로 잘못 옮긴 것을 고르시오. [문  7.～문  8.]","1. 나는 단 한 푼의 돈도 낭비할 수 없다. → I can afford to waste even one cent.","2. 그녀의 얼굴에서 미소가 곧 사라졌다. → The smile soon faded from her face.","3. 그녀는 사임하는 것 외에는 대안이 없었다. → She had no alternative but to resign.","4. 나는 5년 후에 내 사업을 시작할 작정이다. → I’m aiming to start my own business in five years.","","1","① '나는 단 한 푼의 돈도 낭비할 수 없다.'라는 문장은 부정의 의미를 담고 있습니다. 그러나 영어 문장 'I can afford to waste even one cent.'는 '나는 심지어 1센트조차 낭비할 여유가 있다'는 긍정의 의미가 되어 우리말과 반대됩니다. 'I cannot afford to waste...'로 고쳐야 합니다.

② 'fade from'(~에서 사라지다) 표현이 적절합니다.
③ 'have no alternative but to-v'(~하는 것 외에는 대안이 없다) 구문이 적절하게 쓰였습니다.
④ 'aim to'(~할 작정이다, 목표이다) 표현이 적절합니다.","","center","true"
"2022","영어","8. ","1. 식사를 마치자마자 나는 다시 배고프기 시작했다. → No sooner I have finishing the meal than I started feeling hungry again.","2. 그녀는 조만간 요금을 내야만 할 것이다. → She will have to pay the bill sooner or later.","3. 독서와 정신의 관계는 운동과 신체의 관계와 같다. → Reading is to the mind what exercise is to the body.","4. 그는 대학에서 의학을 공부했으나 결국 회계 회사에서 일하게 되었다. → He studied medicine at university but ended up working for an accounting firm.","","1","① '~하자마자 ...했다' 구문으로 'No sooner'를 문두에 쓸 때는 도치 구문과 과거완료 시제를 사용해야 합니다. 'No sooner had I finished...' 또는 'No sooner did I finish...' 형태가 되어야 하며, 'have finishing'은 문법적으로 틀린 표현입니다.

② 'will have to'(~해야 할 것이다)가 적절합니다.
③ 'A is to B what C is to D'(A와 B의 관계는 C와 D의 관계와 같다) 구문이 적절하게 쓰였습니다.
④ 'end up -ing'(결국 ~하게 되다) 구문이 적절하게 쓰였습니다.","","center","true"
"2022","영어","9. 두 사람의 대화 중 가장 어색한 것은?","1. A: I like this newspaper because it’s not opinionated.","2. A: Do you have a good reason for being all dressed up?","3. A: I can hit the ball straight during the practice but not during the game.","4. A: Is there any particular subject you want to paint on canvas?","","4","④ A는 캔버스에 그리고 싶은 특별한 '주제(subject, 소재)'가 있는지 묻고 있는데, B는 고등학교 때 '역사 과목(subject)'을 잘 못했다고 대답하고 있습니다. 'subject'의 다의어(주제 vs 과목)를 혼동한 동문서답입니다.

① 신문이 편파적이지 않아 좋다는 말에 발행 부수가 가장 많은 이유라고 맞장구치고 있습니다.
② 차려입은 이유를 묻자 면접이 있다고 대답하고 있습니다.
③ 연습 땐 잘 되는데 경기 땐 안 된다는 말에, 나도 그렇다고 공감하고 있습니다.","","center","true"
"2022","영어","10. 밑줄 친 부분에 들어갈 말로 가장 적절한 것은?
A: Hey! How did your geography test go?
B: Not bad, thanks. I’m just glad that it’s over! How 
about you? How did your science exam go?
A: Oh, it went really well. _______________________. 
I owe you a treat for that.
B: It’s my pleasure. So, do you feel like preparing for 
the math exam scheduled for next week?
A: Sure. Let’s study together.
B: It sounds good. See you later.","1. There’s no sense in beating yourself up over this","2. I never thought I would see you here","3. Actually, we were very disappointed","4. I can’t thank you enough for helping me with it","","4","대화 흐름상 A가 과학 시험을 매우 잘 봤다고 하며 B에게 '한턱내겠다(owe you a treat)'고 말하고 있습니다. 이는 B가 A의 시험 공부를 도와주었기 때문일 것입니다. 따라서 B에게 고마움을 표현하는 ④ '도와줘서 아무리 감사해도 모자라다(정말 고맙다)'가 가장 적절합니다.

① 자책할 필요 없어.
② 여기서 널 볼 줄은 몰랐어.
③ 사실 우린 매우 실망했어.","","center","true"
"2022","영어","11. 주어진 글 다음에 이어질 글의 순서로 가장 적절한 것은?
For people who are blind, everyday tasks such as sorting 
through the mail or doing a load of laundry present a 
challenge.
(A) That’s the thinking behind Aira, a new service that 
enables its thousands of users to stream live video 
of their surroundings to an on-demand agent, using 
either a smartphone or Aira’s proprietary glasses.
(B) But what if they could “borrow” the eyes of someone 
who could see?
(C) The Aira agents, who are available 24/7, can then 
answer questions, describe objects or guide users 
through a location.","1. (A) － (B) － (C)","2. (A) － (C) － (B)","3. (B) － (A) － (C)","4. (C) － (A) － (B)","","3","주어진 글은 시각장애인들에게 일상 업무가 도전이라는 점을 언급합니다.
(B)는 이에 대한 해결책으로 '볼 수 있는 사람의 눈을 빌리면 어떨까?'라는 질문을 던지며 개념을 제시합니다.
(A)는 그 개념이 'Aira'라는 서비스의 배경이 되는 생각이라고 설명하며 구체적인 서비스를 소개합니다.
(C)는 그 서비스의 상담원(The Aira agents)들이 구체적으로 어떻게 도움을 주는지 설명합니다.
따라서 순서는 (B) - (A) - (C)가 가장 자연스럽습니다.","","center","true"
"2022","영어","12. 주어진 문장이 들어갈 위치로 가장 적절한 곳은?
The comparison of the heart to a pump, however, is a 
genuine analogy.
An analogy is a figure of speech in which two things are 
asserted to be alike in many respects that are quite 
fundamental. Their structure, the relationships of their 
parts, or the essential purposes they serve are similar, 
although the two things are also greatly dissimilar. Roses 
and carnations are not analogous. (①) They both have 
stems and leaves and may both be red in color. (②) 
But they exhibit these qualities in the same way; they 
are of the same genus. (③) These are disparate things, 
but they share important qualities: mechanical apparatus, 
possession of valves, ability to increase and decrease 
pressures, and capacity to move fluids. (④) And the 
heart and the pump exhibit these qualities in different 
ways and in different contexts.","1. ①","2. ②","3. ③","4. ④","","3","주어진 문장은 '그러나 심장과 펌프의 비교는 진정한 유추(analogy)이다.'라는 내용입니다.
글의 앞부분은 장미와 카네이션처럼 단순히 비슷한 것들은 유추가 아니라고 설명합니다. (3)번 앞 문장까지는 장미와 카네이션이 같은 속성을 같은 방식으로 보여준다고 설명합니다. (3)번 뒤 문장은 '이것들은 이질적인 것들이지만 중요한 특성을 공유한다'고 하여 심장과 펌프에 대한 설명을 시작합니다. 따라서 장미/카네이션 예시가 끝나고 심장/펌프 예시가 시작되는 (3)번 위치에 '역접(however)'과 함께 들어가는 것이 적절합니다. 뒤에 이어지는 'These'는 주어진 문장의 'heart'와 'pump'를 가리킵니다.","","center","true"
"2022","영어","13. 다음 글의 제목으로 가장 적절한 것은?
One of the areas where efficiency can be optimized is 
the work force, through increasing individual productivity―defined as the amount of work (products produced, 
customers served) an employee handles in a given time. 
In addition to making sure you have invested in the right 
equipment, environment, and training to ensure optimal 
performance, you can increase productivity by encouraging 
staffers to put an end to a modern-day energy drain: 
multitasking. Studies show it takes 25 to 40 percent 
longer to get a job done when you’re simultaneously 
trying to work on other projects. To be more productive, 
says Andrew Deutscher, vice president of business 
development at consulting firm The Energy Project, 
“do one thing, uninterrupted, for a sustained period of time.”","1. How to Create More Options in Life","2. How to Enhance Daily Physical Performance","3. Multitasking is the Answer for Better Efficiency","4. Do One Thing at a Time for Greater Efficiency","","4","이 글은 생산성을 높이기 위해 멀티태스킹(multitasking)을 멈추고 한 번에 한 가지 일에 집중해야 한다는 내용을 담고 있습니다. 마지막 문장의 'do one thing, uninterrupted, for a sustained period of time'이 핵심 주제를 잘 보여줍니다. 따라서 제목으로 가장 적절한 것은 '더 큰 효율성을 위해 한 번에 한 가지 일을 하라'입니다.","","center","true"
"2022","영어","14. 글의 흐름상 가장 어색한 문장은?
The skill to have a good argument is critical in life. 
But it’s one that few parents teach to their children. 
①We want to give kids a stable home, so we stop 
siblings from quarreling and we have our own arguments 
behind closed doors. ②Yet if kids never get exposed to 
disagreement, we may eventually limit their creativity. 
③Children are most creative when they are free to 
brainstorm with lots of praise and encouragement in a 
peaceful environment. ④It turns out that highly creative 
people often grow up in families full of tension. They 
are not surrounded by fistfights or personal insults, but 
real disagreements. When adults in their early 30s were 
asked to write imaginative stories, the most creative ones 
came from those whose parents had the most conflict a 
quarter-century earlier.","1. ①","2. ②","3. ③","4. ④","","3","전체 글의 요지는 '논쟁과 갈등이 창의성을 기르는 데 중요하다'는 것입니다. ①, ②, ④번 문장은 모두 아이들이 갈등에 노출되어야 하고, 불화가 창의적인 사람을 만든다는 내용을 뒷받침합니다. 반면 ③번 문장은 '평화로운 환경에서 칭찬과 격려를 받을 때 가장 창의적이다'라고 하여 글의 전체 흐름과 정반대의 주장을 하고 있으므로 어색합니다.","","center","true"
